评论内容,评论时间,平均评分,点赞数
来参观南京博物院，本次还是挺开心的，之前从网上搜了，都说游客中心能盖章，特地去了，问了下，结果工作人员斜眼看了我一下，冷冷说了句，“没有”，哈哈，直接好心情都没有了（快下班了，游客中心就两三个游客人，根本不忙），呵呵🙃，对整座城市的印象都下降了一个档次。,2024-12-15IP属地：江苏,2分 一般,"
点赞"
南京博物院藏品丰富，历史文化底蕴深厚。 有许多珍贵的文物和艺术品，让人叹为观止。 馆内的建筑也很有特色。 总的来说，这是一个非常值得一去的博物馆。,2024-12-13IP属地：江苏,5分 超棒,"
点赞"
预约免门票，大厅还有讲解设备，扫码就能了解每件文物的历史。对于不报团的游客太友好了,2024-12-12IP属地：福建,5分 超棒,"
2"
南京博物院是和北京博物院齐名的，可想而知地位之高，历史之厚重！,2024-12-10IP属地：浙江,5分 超棒,"
1"
带孩子去南京三日游玩，自己预约南京博物馆没约上，后来在携程定了这个预约加讲解套餐，导游讲解仔细，从古至今，历史由来，孩子听的津津有味，下次出游还会选择携程服务,2024-12-10IP属地：江苏,5分 超棒,"
点赞"
南京博物院的镇馆之宝一次看不起，他们也要出差 南京博物院分为6个馆：历史馆，特展馆，数学字馆，艺术馆，非遗馆，民国馆 喜欢打卡拍照可以去民国馆，一秒穿越十里洋场的民国，体念民国风清 数字馆带你体念科技飞速发展的变迁,2024-12-09IP属地：江苏,5分 超棒,"
9"
南京博物院，我们走了很多弯路，总结出来了，玩的开心！！！建议预留四小时以上，要不真的走马观花！！如果要盖章建议五小时！！,2024-12-08IP属地：吉林,4分 满意,"
1"
南京博物院还是值得一看的 一圈下来发现还是逛博物馆最耗体力 所幸娃没有跟来 下次再来捡树叶吧 各种艺术产品见证历史更是见证古代匠人精神。,2024-12-01IP属地：上海,1分 不佳,"
点赞"
馆藏很丰富 要提前预约才能进去,2024-11-29IP属地：上海,5分 超棒,"
点赞"
很有名的博物院 需要提前预约 不然进不去,2024-11-29IP属地：上海,5分 超棒,"
点赞"
博物院是来南京玩一定要来的地方，这里是被称为中国四大博物院，只一，整个的展品非常的丰富。不仅能看到很多明清时期的文物，而且民国时期的文物也保存的很好，整个博物院本身的建筑也非常的仿古逛逛非常有意思，差不多要花三个小时。,2024-11-24IP属地：上海,4.6,"
点赞"
采用“一院六馆”格局，历史馆展示江苏地区历史文化，特展馆常办临时展览，数字馆利用现代技术让观众互动体验，艺术馆展示书画、雕塑等艺术珍品，非遗馆呈现江苏省非物质文化遗产，民国馆则重现民国风情 。,2024-11-24IP属地：江苏,5分 超棒,"
14"
一生必去一次的博物院！ 南京博物院，一个超级超级难预约的地方终于终于专门请了一天假带着爸妈一起去看的，它不叫南京博物馆！它叫南京博物院！很久之前南京的故宫遗址遗留下来改建的一部分，占地面积超级大，分为地面三层地下三层的展览厅，有好几个馆忘记拍照了但进去指示牌很清楚的，南京博物院有18件镇院之宝，如果有福气都可以一一参观到的。✅建议：既然很难来一趟最好可以找个导游讲解员，因为毕竟我们都不是学历史的，还是要好好听听导游的精辟演讲，这样才不虚此行，整个博物院认真的逛完最少要3-4个小时，粗逛也要2个小时吧，所以可以带点吃的有专门可以休息的区域，切记不要在展览馆内觅食哦，一不文明，二不尊重，三人太多根本吃不到嘴里就被挤掉了！🏬博物院的楼上楼下都有很多卖文创的地方，货源很充足不用去抢，拿了东西排好队付款就行。也有专门打卡盖章的地方，院里真是给大家都安排的妥妥滴。文创“小粉炉”是我的最爱，由于文物也是轮着展示的，这次去没有看到实物。🍱南京博物院估计最不方便的地方就是吃饭了，也许是为了保护文物和爱护环境，博物院内没有可以吃饭的地方，这里是指那种炒菜米饭，汤汤水水的饭菜，不过博物院离新街口也不是很远，打车、坐地铁去新街口都很方便。📍新街口是美食的天堂，也是商业中心，南京的市区坐标！,2024-11-23IP属地：安徽,5分 超棒,"
1"
除了废腿没毛病，里面文物太多了。看不过来，只能下次接着来。,2024-11-23IP属地：北京,5分 超棒,"
点赞"
南京博物院不愧为国内三大博物院之一，馆藏品丰富，据说镇馆之宝不会一起全都展出，想看全还待下次 民国馆适合拍照打卡种草，一进去慌然感觉穿越时空 数学馆里互动游戏，让你体验人类智慧结晶 如果想细细品味感觉要一天的时间，4个小时逛下来有点意犹未尽,2024-11-23IP属地：江苏,5分 超棒,"
10"
"南京市博物馆位于南京市秦淮区，是一座综合性历史艺术类博物馆，是南京市市立博物馆，国家重点博物馆之一，是江苏省、南京市爱国主义教育基地。她的前身是建国初期成立的南京市文物保管委员会，1978年南京市博物馆正式挂牌。南京市博物馆担负着南京地区的地下遗址和古墓葬的考古发掘调查，文物的保护、藏品的征集与保管，以丰富的文物、文献资料及研究成果为基础，展示南京在中国各个历史发展阶段的发展的轨迹，重点展示南京古都历史文化的成就。 南京市博物馆所处的朝天宫是江南地区建筑等级最高，面积最大，保存最完整的古建筑群。朝天宫之名，系明洪武十七年（1385）太祖朱元璋下诏亲赐，取""朝拜上天""之意。现存建筑为清同治五年（1866）重建，占地面积约四万平方米。",2024-11-21IP属地：河南,5分 超棒,"
点赞"
南京博物院建筑美观大方、典雅与现代完美融合，非常不错。内里展品确实不少但重量级收藏少见。有点失望，特别是管理太差，是曾经去过的海内外几十家展馆体验最不好的，非常遗憾。尤其卫生间保洁员随意关闭内置设施以致大排长龙半小时多，无语😓,2024-11-20IP属地：上海,5分 超棒,"
点赞"
历史底蕴深厚 其前身为1933年蔡元培倡建的国立中央博物院筹备处，见证了中国博物馆事业的发展与近现代文化的变迁，是中国博物馆发展历程的重要参与者. 文物收藏丰富 馆藏各类文物43万余件(套)，涵盖史前至当代的诸多品类，如新石器时代“玉串饰”、东汉“错银铜牛灯”等国宝级文物，数量居中国第二，为研究中国历史文化提供了丰富实物资料. 艺术价值极高 所藏书画、雕刻等艺术品代表着中国顶尖艺术水平，展现了传统艺术魅力，是世界艺术宝库重要组成部分，如“竹林七贤与荣启期”模印砖画等. 教育意义重大 通过展览、讲座等形式普及历史文化知识，是民众学习感受文化的重要平台，还开展社教活动，将教育资源融入社会各界，增强了文化传承的社会基础. 科研实力强劲 作为重要科研基地，拥有专业团队，开展文物保护、修复、研究等工作，其文物保护研究所是纸质文物保护国家文物局重点科研基地，推动了文化遗产保护传承. 文化交流活跃 通过举办国内外展览和交流活动，传播中国优秀文化，吸收借鉴外国文化，促进了文化多元发展，提升了中华文化的国际影响力. 社会价值显著 作为公共文化服务设施和南京文化地标，提升了城市文化品位，推动了文化产业发展，丰富了公众文化生活，增强了公众的文化认同感和民族自豪感. 建筑风格独特 建筑融合传统与现代风格，主殿仿辽代宫殿式建筑，“一院六馆”中的民国馆复原民国街景，让游客有穿越之感，体现了建筑艺术之美.,2024-11-18IP属地：山东,5分 超棒,"
8"
非常值得去一看，先去历史馆，然后去看镇馆之宝，最后推荐大家一定要去民国馆，其实就是一条商品街，但与当年的日常结合起来，也算是博物馆一个很好的创意，现场历史感满满，到处都是拍照的美女。,2024-11-17IP属地：上海,5分 超棒,"
点赞"
按理说作为六朝古都的南京，博物院应该是非常棒的，但是从预约到参观，心内五味杂陈！首先，预约平台的介绍不精彩，不仔细，非常陈旧。再一个此处的交通太差，必须用太差来形容！！！而服务人员态度冷漠，全程无笑容，展馆空气污浊，嘈杂无序，引导牌不清晰，无人管理。总之，这次参观给我留下的印象远比期望的差太多了,2024-11-15IP属地：江苏,5分 超棒,"
1"
超级棒的博物院，不亏是排名前列的，馆藏丰富，布展合理，虽然人很多，但是观赏起来很舒服！,2024-11-13IP属地：上海,5分 超棒,"
点赞"
值得推荐，导游讲解细心周到，很负责任。出来的时候还带我们到地铁站口，非常的有耐心,2024-11-13IP属地：广东,4.6,"
点赞"
挺好，推荐！值得一走,2024-11-10IP属地：越南,5分 超棒,"
点赞"
南京，这座有着深厚底蕴的城市，自孙权建立吴国起，便开启了作为六朝古都的辉煌篇章，历史文化源远流长，宛如一幅徐徐展开的千年画卷。 在此基础上发展起来的南京博物院，藏品数量之多、种类之丰富，令人赞叹不已。 然而，令人稍感遗憾的是，这座曾经的“国博”，在规模上和北京的国家博物馆相比，还是有着不小的差距。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
- 历代雕塑陈列：南京博物院收藏历代雕塑作品数量可观，该展厅集中展示这些闪耀着东方文明与智慧的艺术品。 - 吴为山雕塑馆：吴为山是中国当代杰出雕塑家，2000年南京博物院设立此馆，集中展示其雕塑作品。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
非遗馆 主要展出刻板、剪纸、金箔、花灯等民间手工艺。 - 特色活动：能在此欣赏昆曲、白局、评弹等表演，小剧场会播放免费的 3D 影片，双休日与节假日晚上若有传统曲艺表演也会对外开放，但需要买票观看。,2024-11-09IP属地：江苏,2分 一般,"
点赞"
数字馆，利用现代科技手段展示历史文化，通过数字技术将古代题材以新颖的形式呈现给观众。 - 展示内容：有动画《南都繁绘景物图卷》等展品，并且设置了很多互动游戏，观众可以通过触摸屏幕参与古代背景的游戏，增加参观的趣味性和互动性。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
- “陈设清宫——南京博物院藏清代宫廷文物展”：从清宫礼制、信仰、生活、赏玩、陈设等各个层面呈现清代宫廷生活的多彩画面，展示清代帝王对艺术品的偏爱和审美取向。 - “盛世华彩”：展品为流传有序的院藏官窑瓷，展现清三代官窑瓷的风格。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
历史馆：是“一院六馆”的核心，为常设展览，呈现江苏地区古代文明的发展历程，从数十万年前的旧石器时代一直到明清时期。 1展厅“远古印象”：主要展示远古时期江苏大地原始人类的生存遗迹。 - 2展厅“史前神韵吴越春秋”：能看到良渚文化时期的江豚形陶壶、大汶口文化时期的镂空红陶器、彩陶器座等文物。 - 3展厅“郡国华章汉家故里”：东汉银缕玉衣、“广陵王玺”金印、西汉铜缸灯、东汉熏香炉等是主要看点。 - 4展厅“六朝迭兴隋唐华彩”：有竹林七贤与荣启期砖画、西晋青釉瓷神兽尊、唐三彩双鱼瓶、唐菱花鸳鸯铜镜等文物。 - 5展厅“江淮多姿宋元气象”：宋影青印花瓷枕、宋白地赭色菱形花瓷长枕、宋青釉多嘴带盖瓷壶等是该展厅的特色展品。 - 6展厅“盛世江南明清辉煌”：展示了永乐的青花云龙纹扁瓶、明洪武景德镇窑釉里红寿石花卉纹大瓷盘等文物,2024-11-09IP属地：江苏,3分 不错,"
点赞"
民国馆内:街道布局宛如一幅生动的历史画卷，邮局、火车站、理发店、中药铺、书店、银楼等实体店铺一应俱全，这些店铺不是摆设，都正常营业。店铺的招牌、店内的陈设等都按照民国风格进行布置，置身其中仿佛真的穿越到了民国时代。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
民国馆仿民国欧式建筑街景映入眼帘，红砖墙、坡屋顶、雕花窗等每一处细节都流露出那个时代的韵味，天空、道路、街灯及附属设施等通过先进的声、光、电技术模拟再现，营造出真实而深沉的历史氛围。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
超适合带娃的家庭，需要提前预约门票，一般周一闭馆，内有很多展区:民国馆，非遗馆，历史馆……最让我震撼的是民国馆，建议安排1-2小时参观民国馆。因为这里不仅有丰富的展品可以欣赏，还有各种互动体验项目可以参与，如果想要仔细感受民国风情，需要预留充足的时间。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
- 艺术馆：主要展示绘画、书法、雕塑等艺术作品，能让人感受到不同艺术形式的魅力，但有时可能会因特殊情况不开放。 - 非遗馆：展示非遗工艺品，不在馆内，而是在出口处。如果参观完想再回头参观其他展馆，需要重新安检刷身份证。,2024-11-09IP属地：江苏,4.6,"
点赞"
- 数字馆：有很多互动体验项目，适合小朋友或者对科技感兴趣的游客，能让观众更生动地了解历史文化。 - 民国馆：是老南京城市文化的一个缩影，以实物与场景相结合的陈列模式，还原了民国时期的街道、店铺等场景，非常适合拍照。馆内的老茶馆下午2点到4点有非遗表演，如京剧、昆曲、白局等（以节目单为准），如果想看表演需要提前占座。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
- 历史馆：这是南京博物院的核心展馆之一，常设“江苏古代文明展”，有大量珍贵文物，如人鸟兽玉饰、神人兽面纹琮、广陵王玺、金缕玉衣、错银铜牛灯、竹林七贤砖画等。可以从左侧艺术馆进入，避开历史馆进口的人流。 - 特展馆：镇馆之宝一般在此展馆，如西汉金兽等，但文物可能会因展览安排有所变动。特展馆的展品通常具有较高的历史和艺术价值，值得仔细欣赏。,2024-11-09IP属地：江苏,5分 超棒,"
点赞"
很值得推荐。 国庆节去的，没有预约到门票 后来在携程上订的，也是出行前一天出票。 约了个晚上。 最后很圆满结束。,2024-11-06IP属地：湖南,5分 超棒,"
点赞"
南京博物院极具价值。历史底蕴深厚，见证博物馆事业发展。藏品43万余件（套），种类多、珍品众。展览丰富，建筑独特，布局合理。教育功能突出，服务周到，是了解历史文化的好去处。,2024-11-05IP属地：河南,5分 超棒,"
点赞"
很值得去的博物院，趣味性很强，很震撼的视觉享受。,2024-11-04IP属地：江苏,5分 超棒,"
点赞"
南京博物院是中国三大博物院之一，是我一直梦寐以求的参观地，虽然要提前预约，但是参观南博可是我一直以来的心愿，南博本身就是艺术品，里面的展品可以和故宫博物院媲美，超多的展品让你觉得目不暇接，性价比很高的博物院，是每个来南京的人的必逛之处！在南博18件镇馆之宝都可以让你耳目一新，特别是镇馆之宝之首一金兽，真的是太棒棒哒！,2024-11-03IP属地：云南,5分 超棒,"
点赞"
当然可以，来点轻松的：刚从南京博物馆回来，真是大开眼界！这里就像个宝藏，古玩字画样样都有，看得我眼花缭乱。特别喜欢那些精致的瓷器和玉器，美得让人挪不开眼。逛累了还能在庭院里歇歇脚，感受下历史的沉淀。推荐给喜欢历史文化的朋友们，绝对值得一去！,2024-10-31IP属地：广西,5分 超棒,"
1"
南京博物院是中国三大博物馆之一，馆藏丰富，特色鲜明。它由历史馆、艺术馆、特展馆等组成，涵盖从旧石器时代到现代的各类文物。民国馆以民国风情街景著称，数字馆提供互动体验。免费开放，服务周到，是了解江苏乃至中国历史文化的绝佳去处。,2024-10-30IP属地：安徽,5分 超棒,"
点赞"
很值得去的地方，中华文明的缩写体现的淋漓尽致,2024-10-27IP属地：江苏,5分 超棒,"
点赞"
超赞 里面有很多宝贝 到底是称为博物院的地方 比博物馆东西多多了,2024-10-27IP属地：上海,5分 超棒,"
点赞"
南博真的值得去一趟，毕竟43万件的馆藏数量在中国可是三大博物院啊,2024-10-23IP属地：江苏,4.6,"
点赞"
没有看到金蝉玉叶……就见着了金兽，草率了,2024-10-19IP属地：江苏,5分 超棒,"
点赞"
十一以过人依然是如此之多！我们也去凑个热闹！,2024-10-19IP属地：江苏,5分 超棒,"
点赞"
小粉壶最近去盐城出差了，但其他展鹏进本都在，像金缕玉衣、广陵王印还有金兽都还在呢,2024-10-17IP属地：山东,5分 超棒,"
点赞"
遛娃好地方。文物丰富的，环境一流。还有风情民国街很惊喜。,2024-10-17IP属地：辽宁,4分 满意,"
点赞"
3号厅和通往民国馆的隧道比较印象深刻,2024-10-16IP属地：安徽,5分 超棒,"
点赞"
体验极差，门口指引说去服务大厅办理门票，去了工作人员说直接刷身份证入园，又走回去，即使是工作日人也多的要命，不敢相想象节假日将会有多拥挤，排队进入等了半天，里面不通风，非常闷热没有空调，电梯根本进不进去，也没有扶梯，美术馆有一大半的展厅都在维护，也不知道每周一例行维护都维护了什么，只能看见其他游客的头，也不知道为什么不限制下每日出票数量，控制下场内游客密度，还有很多小孩在馆内哭闹，总而言之，很吵，很挤，很闷，很热，让我印象最深的展品就是其他游客的头,2024-10-12IP属地：江苏,5分 超棒,"
1"
南京博物院是新贵打卡地。大气宏伟，馆藏文物丰富。遛娃和提升自己的好地方。馆内设有民国建筑群，里面装民国一条街真实还原历史，还有茶社评弹演绎，即展示了历史也弘扬了传统文化。,2024-10-11IP属地：江苏,5分 超棒,"
点赞"
一如既往的好,2024-10-10IP属地：广东,5分 超棒,"
点赞"
展品很多，号称一院六馆十八件镇院之宝。但很多镇馆之宝没有拿出来展出，基本上十八件能看到三分之一就不错了。历史馆很大，展品很多；特展馆不是全部都开放，有部分展厅在维护；艺术馆基本上都是临时展览，能看到什么凭运气；民国馆就是个打卡拍照的地方，数字馆最小，适合5～6岁的小朋友。总体上在省一级的博物馆里算是很有特色的了。,2024-10-08IP属地：广东,5分 超棒,"
点赞"
南京博物院是国内数一数二的博物院，能与故宫齐名，展品丰富令人眼花缭乱，请一位讲解员是必须的，听听每一个展品背后的故事，感受中华文化的博大精深,2024-10-08IP属地：北京,5分 超棒,"
点赞"
南京博物院，提前一周19:00开票预约，参观体验：值得一来！时间可以安排在5小时以上。个人更喜欢特展馆，里面文物精美珍贵，颇有特色！历史馆中文物众多，因此次时间关系，匆匆游览艺术馆，没看到全貌；时间充裕的话，仔细看文物后，可去民国馆喝茶看戏，换装拍照，也会有一番独特收获；逛逛馆内的文创店，去特展馆五楼喝喝咖啡，也实在不错！,2024-10-04IP属地：江苏,4.6,"
点赞"
讲解很到位，服务很全面。,2024-10-04IP属地：浙江,5分 超棒,"
点赞"
非常值得推荐，每个场馆身入其境感受不同时期历史的中国，感叹古人的智慧。,2024-10-02IP属地：江苏,5分 超棒,"
点赞"
讲解不行，口头语多，不熟练而且过于生硬死板，这个团队的讲解水平拉低了南博的水平,2024-09-28IP属地：江苏,5分 超棒,"
点赞"
非常非常专业的解说！知识渊博 非常好！！目前遇到最好的导游！,2024-09-27IP属地：江苏,5分 超棒,"
点赞"
逛一天，导游很卖力，讲的也很细，但是博物院人实在是太多太多。所有的导游讲解都在讲，嗡嗡嗡嗡嗡嗡嗡……民国馆很有味道，有个老茶馆可以喝茶看戏京剧和昆曲，我看的是三岔口，武戏。,2024-09-25IP属地：山东,5分 超棒,"
点赞"
导游讲的很详细，2个半小时高节奏讲解，知识点满满，国家高级导游王炘,2024-09-21IP属地：江苏,4分 满意,"
点赞"
非常满意的一次讲解，蔡导游学识渊博，讲的很生动，全程热情讲解，觉得非常值得。下次有机会还想找他带领我们一家！,2024-09-19IP属地：辽宁,2分 一般,"
点赞"
不要选，白白浪费钱，在携程这么多年，第一次给差评 没想过携程会安排有这么差讲解员 带着孩子想的是省心点 找讲解还可以多了解一点文物历史 没有任何专业度 不知道找的是什么讲解员 没有任何工作的职责 2个小时真真不如自己逛逛,2024-09-18IP属地：辽宁,5分 超棒,"
点赞"
讲的还不错，假日人超多,2024-09-17IP属地：上海,5分 超棒,"
点赞"
这次的导游是我逛博物馆遇到的最好的导游，知识渊博，还很贴心的照顾小朋友们，给小朋友讲解的很细致。,2024-09-17IP属地：江苏,5分 超棒,"
点赞"
很有特色的博物馆,2024-09-17IP属地：江苏,4.6,"
点赞"
离集合半小时才联系上这种极限操作是从来没碰到过😅携程上订完没有任何反馈，贴了订单上那个编码在软件客服那里啥都没问出来，到了晚上反应过来携程上给的一串编码是电话，这是和客户打暗号是吧？打电话约门票后也不反馈约没约上，终于在第二天九点半终于联系上导游了，还让我快点去？！要不是我在订单只言片语中看到十点集合提前准备出门并且离得还不是特别远，岂不是要赶不上了？,2024-09-16IP属地：上海,5分 超棒,"
点赞"
刘导讲解的非常细致清楚及有趣，无奈时间短了点，导游会在前一天电话或微信联系时间地点。南博实在太大了，人也多，好好逛的话要预留一天的时间哦。,2024-09-16IP属地：江苏,5分 超棒,"
点赞"
没在公众号预约到，就在这里预定了讲解。这里团体票入院没排队，一开始人流量还行，但毕竟是小长假第二天，台风又导致室外全关闭了。一个小时后人就太多了。 王导游讲得非常精彩，学习到很多历史文化政治知识。看来以后逛博物馆真的要请有底蕴又严谨博学的导游。,2024-09-16IP属地：江苏,5分 超棒,"
1"
导游提前联系告知注意事项，每个展馆都讲解的很细致，非常满意。但是博物馆人真的太多了，缺乏有序管理。,2024-09-16IP属地：江苏,5分 超棒,"
点赞"
老师讲解非常专业，很有耐心，孩子听的很认真,2024-09-16IP属地：江苏,3分 不错,"
点赞"
讲解非常好,2024-09-15IP属地：江苏,5分 超棒,"
点赞"
唐导讲解很精彩，人很耐心，极力推荐,2024-09-15IP属地：山东,3分 不错,"
点赞"
非常好的一次体验,2024-09-12IP属地：江苏,5分 超棒,"
点赞"
刘老师讲解的非常详细，很专业，了解每件珍宝的前世今生，对小朋友很有耐心，超二个小时的讲解涵盖精华，一家人收获满满，体验感非常好。,2024-09-12IP属地：江苏,5分 超棒,"
点赞"
时间推迟 体验过极差,2024-09-10IP属地：江苏,1分 不佳,"
点赞"
值得一去再去，假期人太多了，需要一个人静静的欣赏这些宝藏。不好预约。,2024-09-10IP属地：广东,4.6,"
点赞"
讲解很详细。,2024-09-08IP属地：江苏,5分 超棒,"
点赞"
导游很热情 解说也很细致,2024-09-07IP属地：上海,5分 超棒,"
点赞"
"珍宝之殿南京博物院，琳琅满架的藏品尽显历史的厚重与细腻。这次有幸遇到了历史知识丰富的讲解员～李姐李姐在博物馆里真是个宝藏级人物啊!她关于历史的见解超级独到👍,每次听她说都感觉自己长了不少见识呢~必须赞一个！",2024-09-07IP属地：上海,5分 超棒,"
点赞"
解说详细具体有耐心，文物很有历史价值，收获颇丰，下次还会再来。@南京博物院,2024-09-06IP属地：江苏,3分 不错,"
点赞"
张老师对历史很了解，讲解很清晰，不听讲解真的白看,2024-09-06IP属地：江苏,5分 超棒,"
点赞"
讲解很专业,2024-09-06IP属地：江苏,5分 超棒,"
点赞"
非常感谢聆听飞哥的南博讲解，讲解很详细很棒，过程中还会不时打开手机相册拓展讲解知识，很好，推荐！！！ 附两张喜欢的文物展品,2024-09-04IP属地：江苏,5分 超棒,"
点赞"
讲解专业，有耐心。,2024-09-03IP属地：江苏,5分 超棒,"
点赞"
时导讲解很细致，非常满意,2024-09-03IP属地：江苏,5分 超棒,"
点赞"
现在博物院都很热门，很难预约到票，临时决定出行，没时间抢票，预约个讲解，能进去观赏，还能提高游览效率，体验感很好。适合临时决定出游的人。,2024-08-13IP属地：江苏,5分 超棒,"
点赞"
自己抢票根本就抢不到，只有在携程上买团体票。南京博物院作为三大博物院之一，火爆程度可想而知。能够买到票也算不错。因为时间和导游节奏安排等原因，没有跟着一起走就相当于代买了个门票进去。。,2024-08-11IP属地：四川,4.6,"
1"
南京博物馆非常好、讲解员很厉害，知识渊博，藏品丰富，历史悠久，里面的美食也和不错，如好还有机会，一定要再来一次，好好玩几天,2024-08-09IP属地：浙江,5分 超棒,"
点赞"
南京博物院不愧是院子头的大博物馆，藏品丰富历史性强，下次还要过来看,2024-08-09IP属地：浙江,5分 超棒,"
点赞"
姓龚的导游讲解太差，声音小，吐字不清楚，有口音听不懂。一点不专业，死板,2024-07-31IP属地：江苏,1分 不佳,"
点赞"
姓龚的导游讲解太差，一点不专业，死板，什么内容也没有讲出来，数字馆和民国馆没有时间就都没看上。太差了,2024-07-31IP属地：江苏,5分 超棒,"
点赞"
导游很好，值得一去,2024-07-30IP属地：陕西,5分 超棒,"
点赞"
讲的很不专业，没有逻辑性。没有把南京的特点，历史，有条理的讲下来。9点开始，10:40左右就草草结束了。 讲解博物馆很考研积累，普通人其实讲不了。这次是几次参观博物馆里最糟糕的一次。,2024-07-28IP属地：江苏,5分 超棒,"
点赞"
昨天晚上现抢了一张票，虽然早上十点到，下午三点才进去，也不虚此行。因为有幸遇到王忻老师，渊博的历史知识储量，精选二个小时的重点，一点没浪费，演讲过程中不停地照顾孩子，走时还告诉另外一些值得一去的景点，为他的专业及素质点赞！！！,2024-07-14IP属地：江苏,5分 超棒,"
点赞"
导游讲解很风趣，小朋友听的津津有味,2024-07-09IP属地：浙江,5分 超棒,"
点赞"
南京博物院是中国四大博物馆之一，位于南京市，拥有丰富的历史文物和展览，是一个值得一游的历史文化景点！去之前记得预约！那么有名的博物馆现场毫无管理可言，从进门排队开始就毫无秩序，也没有任何一个工作人员在现场维持秩序，管理混乱到一定地步！游玩体验极差。,2024-06-30IP属地：江苏,5分 超棒,"
3"
混乱十分的混乱，工作人员态度极其恶劣，浪费时间,2024-06-29IP属地：江苏,5分 超棒,"
点赞"
带了两个孩子参观南博，因为是用护照预定的门票，没有任何标识要去哪里取票，以为和故宫一样只要是人工客服就可以帮忙检票。结果先去了艺术馆排队，到了让去历史馆正门，又去排队，大太阳底下排到了，安检一挥手让去窗口，问窗口在哪里，极其不耐烦地往墙边指指，中间大厅的女工作人员态度还可以，往正确方向指了一下，我说你们没有任何提示，让我们怎么知道呢？！于是又排了第三个队，还是没有任何关于拿护照在此换票的提示，特意拍了照片。前面一个护照尾号输入错误的又耽误了十几二十分钟，里面两个工作人员，只有一个在工作，外面排了很长的队。本来一个告示或者人工操作就可以解决的问题，折腾了快一个小时才进去。对南京博物院的人员和设备十分失望。这还是我懂中文可以交流的前提下，如果是不懂中文的，完全搞不清状况。另外艺术馆基本上没有展厅开放，历史馆人满为患，都拥堵在有解说的物品前观看。希望能够好好借鉴一下其他博物馆的安排，以游客的角度审视一下流程，做一下人员培训。,2024-06-21IP属地：美国,4.6,"
6"
很好，值得推荐。,2024-06-11IP属地：浙江,5分 超棒,"
点赞"
超值的一次体验,2024-06-09IP属地：北京,5分 超棒,"
点赞"
南京博物院简称南院或南博，其前身是民国二十二年（1933年）蔡元培等倡建的国立中央博物院，是中国创建最早的博物馆、中国第一座由国家投资兴建的大型综合类博物馆。 南京博物院占地13万余平方米，为“一院六馆”格局，即历史馆、特展馆、数字馆、艺术馆、非遗馆、民国馆。,2024-06-09IP属地：江苏,5分 超棒,"
8"
挺精致的，给孩子留个纪念,2024-05-20IP属地：吉林,5分 超棒,"
点赞"
下次还来！,2024-05-19IP属地：北京,5分 超棒,"
点赞"
讲解水平很差,2024-05-13IP属地：广东,5分 超棒,"
点赞"
维维讲解耐心细致，看了多个镇院之宝，值得一游！！！不过，人真的很多，幸好提前预约！,2024-05-05IP属地：江苏,5分 超棒,"
1"
基本讲解了所有文物，拓展了很多知识，胡老师知识丰富，对孩子很有耐心。,2024-05-05IP属地：江苏,1分 不佳,"
点赞"
第一次遇到携程给我安排一个这么个讲解员，讲解内容就是这是啥，你们自己看。内容没有衔接，历史没有描述，人物没有介绍，还不如门口60一位的野导游。携程这么糊弄人，好自为之吧。,2024-05-05IP属地：江苏,1分 不佳,"
1"
讲的很详细,2024-05-04IP属地：浙江,5分 超棒,"
点赞"
中午一点去的，不用排队直接检票进场，免费预约票没抢到，不过预约的讲解老师很专业，讲得很棒，两个小时下来，虽然累了些，但大人孩子听的都很有趣,2024-05-03IP属地：江苏,4.6,"
点赞"
携程上预约了5.3南京博物院，到了后竟然被告知没有用，没用为啥不关闭通道，大老远白跑一趟，费时费力，人又多，差评，差评，差评,2024-05-03IP属地：江苏,1分 不佳,"
点赞"
导游服务较好,2024-05-01IP属地：江苏,5分 超棒,"
点赞"
导游人超好，讲解的很详细，棒棒哒！满分,2024-05-01IP属地：江苏,5分 超棒,"
点赞"
还行吧，方便了很多,2024-05-01IP属地：山西,1分 不佳,"
点赞"
丁丁老师讲解很好，专业、耐心，认真，对历史了解度高，好评。,2024-04-30IP属地：江苏,1分 不佳,"
点赞"
非常有深度的讲解,2024-04-29IP属地：辽宁,1分 不佳,"
点赞"
萍萍姐姐很耐心，知识渊博，演讲生动，非常值得，如果有机会海会再来,2024-04-28IP属地：江苏,5分 超棒,"
点赞"
非常不错的地方,2024-04-27IP属地：辽宁,5分 超棒,"
点赞"
误订，退不了！,2024-04-26IP属地：河南,5分 超棒,"
点赞"
展品丰富，展馆大,2024-04-24IP属地：吉林,5分 超棒,"
点赞"
没想到会当天放票，预约的这个解说很无聊，人很多，又热又闷，周边小粉炉也没买到，卖完了。,2024-04-24IP属地：江苏,4.6,"
点赞"
